timestamp,open,high,low,close,volume
2025-05-16 18:21:00+00:00,2.6346,2.6346,2.631,2.6332,4599.5
2025-05-16 18:22:00+00:00,2.6329,2.645,2.6326,2.645,21567.0
2025-05-16 18:23:00+00:00,2.6449,2.6457,2.638,2.6395,9267.4
2025-05-16 18:24:00+00:00,2.6394,2.6419,2.6359,2.6388,12042.6
2025-05-16 18:25:00+00:00,2.6387,2.6412,2.6333,2.6342,7869.0
2025-05-16 18:26:00+00:00,2.634,2.6359,2.6321,2.6324,12492.3
2025-05-16 18:27:00+00:00,2.6322,2.6361,2.6321,2.6322,5714.5
2025-05-16 18:28:00+00:00,2.6322,2.6373,2.632,2.6349,27775.5
2025-05-16 18:29:00+00:00,2.6348,2.6349,2.632,2.6339,4733.0
2025-05-16 18:30:00+00:00,2.633,2.6331,2.63,2.63,6615.1
2025-05-16 18:31:00+00:00,2.63,2.6376,2.63,2.6375,5657.8
2025-05-16 18:32:00+00:00,2.6377,2.6522,2.6376,2.65,37692.2
2025-05-16 18:33:00+00:00,2.6502,2.6506,2.6434,2.6436,5358.6
2025-05-16 18:34:00+00:00,2.6438,2.6484,2.6424,2.6462,6943.9
2025-05-16 18:35:00+00:00,2.6457,2.6522,2.645,2.645,6889.8
2025-05-16 18:36:00+00:00,2.6449,2.6481,2.6401,2.6406,23817.7
2025-05-16 18:37:00+00:00,2.641,2.6434,2.6388,2.6396,3386.6
2025-05-16 18:38:00+00:00,2.6388,2.6403,2.6304,2.6364,22393.2
2025-05-16 18:39:00+00:00,2.6362,2.639,2.6334,2.6378,5614.9
2025-05-16 18:40:00+00:00,2.6375,2.641,2.6375,2.6387,6845.6
2025-05-16 18:41:00+00:00,2.6387,2.6389,2.6368,2.6369,3031.1
2025-05-16 18:42:00+00:00,2.6368,2.6368,2.6309,2.6356,5761.2
2025-05-16 18:43:00+00:00,2.6344,2.6344,2.5751,2.5952,567947.9
2025-05-16 18:44:00+00:00,2.5952,2.5965,2.575,2.5821,93995.2
2025-05-16 18:45:00+00:00,2.583,2.5867,2.568,2.5738,85889.0
2025-05-16 18:46:00+00:00,2.5741,2.5847,2.5656,2.5705,83938.7
2025-05-16 18:47:00+00:00,2.5724,2.5819,2.5698,2.5812,39461.4
2025-05-16 18:48:00+00:00,2.5806,2.5806,2.5626,2.5668,82862.1
2025-05-16 18:49:00+00:00,2.5688,2.5709,2.553,2.5615,83945.1
2025-05-16 18:50:00+00:00,2.5622,2.5685,2.5565,2.5617,46429.8
2025-05-16 18:51:00+00:00,2.5609,2.5684,2.5577,2.5586,32460.5
2025-05-16 18:52:00+00:00,2.56,2.5627,2.5536,2.5537,26983.8
2025-05-16 18:53:00+00:00,2.5539,2.5594,2.5462,2.5566,83781.5
2025-05-16 18:54:00+00:00,2.5561,2.59,2.5554,2.5873,70071.0
2025-05-16 18:55:00+00:00,2.5868,2.5868,2.5797,2.5818,19707.2
2025-05-16 18:56:00+00:00,2.5819,2.5856,2.5771,2.5772,25008.4
2025-05-16 18:57:00+00:00,2.5764,2.5774,2.5631,2.569,32028.8
2025-05-16 18:58:00+00:00,2.5698,2.5727,2.5657,2.5717,9320.5
2025-05-16 18:59:00+00:00,2.5723,2.5792,2.5704,2.5786,17324.5
2025-05-16 19:00:00+00:00,2.5785,2.5819,2.572,2.5736,28462.5
2025-05-16 19:01:00+00:00,2.5739,2.5743,2.5433,2.5507,101682.8
2025-05-16 19:02:00+00:00,2.5517,2.5653,2.55,2.5563,34725.4
2025-05-16 19:03:00+00:00,2.5556,2.5659,2.5556,2.5585,13346.5
2025-05-16 19:04:00+00:00,2.5584,2.5619,2.5201,2.5245,220148.4
2025-05-16 19:05:00+00:00,2.5244,2.5453,2.5239,2.5387,53578.3
2025-05-16 19:06:00+00:00,2.5386,2.5704,2.5386,2.5604,78352.9
2025-05-16 19:07:00+00:00,2.5604,2.5705,2.5601,2.5623,15453.9
2025-05-16 19:08:00+00:00,2.5619,2.5727,2.5513,2.5717,31954.1
2025-05-16 19:09:00+00:00,2.5717,2.5814,2.5678,2.5766,26630.7
2025-05-16 19:10:00+00:00,2.5778,2.614,2.5773,2.5921,93377.3
2025-05-16 19:11:00+00:00,2.5925,2.5955,2.5856,2.5869,14526.7
2025-05-16 19:12:00+00:00,2.5869,2.5899,2.5804,2.5823,27221.5
2025-05-16 19:13:00+00:00,2.5824,2.5949,2.5824,2.5881,20222.6
2025-05-16 19:14:00+00:00,2.5876,2.5904,2.5834,2.5877,13427.6
2025-05-16 19:15:00+00:00,2.5872,2.5994,2.5838,2.5926,13802.3
2025-05-16 19:16:00+00:00,2.5911,2.5964,2.5872,2.5899,6213.4
2025-05-16 19:17:00+00:00,2.5899,2.5914,2.583,2.5874,9012.7
2025-05-16 19:18:00+00:00,2.5865,2.5887,2.5835,2.5879,6199.4
2025-05-16 19:19:00+00:00,2.5875,2.5927,2.5862,2.5862,8009.4
2025-05-16 19:20:00+00:00,2.5862,2.5915,2.5862,2.5891,6111.9
2025-05-16 19:21:00+00:00,2.5893,2.5939,2.5889,2.5914,6245.9
2025-05-16 19:22:00+00:00,2.5913,2.592,2.5861,2.5884,7379.3
2025-05-16 19:23:00+00:00,2.5879,2.5895,2.5777,2.5791,12438.9
2025-05-16 19:24:00+00:00,2.5791,2.5847,2.5722,2.5816,22355.5
2025-05-16 19:25:00+00:00,2.5819,2.5853,2.5773,2.5791,5103.1
2025-05-16 19:26:00+00:00,2.5789,2.5845,2.578,2.5808,7931.4
2025-05-16 19:27:00+00:00,2.5807,2.5842,2.5778,2.5809,6870.3
2025-05-16 19:28:00+00:00,2.5806,2.6032,2.5806,2.6007,25317.4
2025-05-16 19:29:00+00:00,2.6006,2.6118,2.597,2.602,25108.3
2025-05-16 19:30:00+00:00,2.6014,2.6178,2.5971,2.6013,51756.3
2025-05-16 19:31:00+00:00,2.6021,2.6051,2.5935,2.5963,14037.1
2025-05-16 19:32:00+00:00,2.5968,2.6037,2.5945,2.5977,14979.1
2025-05-16 19:33:00+00:00,2.5976,2.5984,2.5935,2.5974,18433.4
2025-05-16 19:34:00+00:00,2.5976,2.6087,2.5918,2.6077,15779.5
2025-05-16 19:35:00+00:00,2.6076,2.6076,2.5964,2.5997,15240.9
2025-05-16 19:36:00+00:00,2.5996,2.6019,2.5959,2.5959,5041.3
2025-05-16 19:37:00+00:00,2.5961,2.5979,2.587,2.5912,12551.0
2025-05-16 19:38:00+00:00,2.592,2.5926,2.5876,2.5909,4517.2
2025-05-16 19:39:00+00:00,2.5914,2.6,2.5899,2.5939,8881.5
2025-05-16 19:40:00+00:00,2.5946,2.5976,2.5925,2.5964,4459.6
2025-05-16 19:41:00+00:00,2.5955,2.5983,2.593,2.5938,4937.1
2025-05-16 19:42:00+00:00,2.5938,2.5947,2.589,2.5892,3269.2
2025-05-16 19:43:00+00:00,2.5889,2.5925,2.5878,2.5909,3483.4
2025-05-16 19:44:00+00:00,2.5909,2.5968,2.5909,2.5929,7700.7
2025-05-16 19:45:00+00:00,2.5927,2.5993,2.5908,2.5935,8414.7
